0,84
1,60
1,63
1,86
2,53
3,5
3,29
3,66
4,55
4,57
5,3
5,76
6,44
6,64
6,69
7,42
7,75
8,50
9,29
9,46
9,98
10,76
10,97
11,87
11,98
12,73
12,90
13,15
13,27
14,68
15,13
15,33
16,59
16,82
16,88
17,38
17,49
17,78
18,47
18,49
18,62
18,93
19,55
19,61
19,89
20,33
20,79
20,99
21,63
21,83
21,97
22,42
22,83
23,35
24,58
24,85
24,89
25,38
25,99
26,41
26,45
27,13
27,32
28,41
28,43
29,3
29,9
30,53
30,87
31,66
31,81
31,95
32,27
33,15
33,20
33,62
34,37
34,67
35,23
35,71
36,68
36,92
37,34
37,61
38,17
38,25
38,90
39,51
39,58
39,68
40,54
40,74
41,26
41,28
41,88
42,7
42,22
43,28
43,80
44,6
44,54
44,65
45,26
46,9
46,70
47,18
47,99
48,57
48,85
48,92
49,17
49,18
49,67
50,8
50,60
51,39
51,91
52,57
52,80
53,2
53,30
53,77
54,40
54,44
54,71
55,4
55,19
55,64
56,69
56,86
57,4
57,48
57,52
58,24
58,39
59,16
60,1
60,50
61,19
61,37
61,94
62,18
62,33
62,74
63,1
63,21
64,6
64,55
64,70
64,94
65,44
65,94
65,96
66,3
66,31
67,34
67,49
68,14
68,36
68,39
69,6
69,56
69,71
70,46
70,64
70,77
71,35
71,54
71,69
72,82
72,87
73,12
73,78
74,40
74,62
74,93
75,7
75,81
76,5
76,10
77,53
77,70
78,17
78,73
78,91
79,20
80,43
80,52
81,31
81,75x
82,16
82,72
83,21
83,22
84,0
84,98
85,24
85,48
86,1
86,56x
87,11
87,30
87,72
88,16
88,41
89,19
89,24
90,12
90,38
91,51
91,78
92,36
92,48
93,18x
93,74
93,96
94,61x
94,64x
94,65x
95,31
95,97
96,65
96,93
97,10
97,21
97,95
98,9x
98,11
98,84
99,20
99,25x
99,47
