0,84
1,60
2,53
3,66
3,76
4,19
4,43
4,55
5,3
5,76
6,56
6,69
6,76
7,42
9,29
10,21
10,97
11,0
11,98
12,73
12,90
13,27
14,51
14,68
15,13
15,27
16,59
16,82
17,38
17,47
18,47
18,62
19,55
19,61
20,33
20,79
21,83
22,7
22,42
22,60
23,15
23,50
24,58
24,89
25,47
25,99
26,41
26,80
27,32
28,43
28,59
29,3
29,5
30,53
31,10
31,81
31,95
33,15
34,65
34,67
34,93
35,23
35,50
35,86
36,24
36,58
36,92
37,34
37,94
38,25
39,51
39,67
39,91
40,23
41,28
41,88
43,2
43,55
44,6
44,54
45,26
45,88
46,9
46,29
47,20
47,99
48,4
48,85
49,17
49,18
49,93
50,8
50,13
51,91
52,4
52,57
52,80
53,77
53,98
54,40
54,71
55,2
55,64
56,10
56,63
56,86
57,4
57,48
58,37
58,39
59,2
60,42
60,50
61,37
61,94
62,20
62,33
63,1
63,21
64,6
64,44
64,70
65,44
65,96
66,31
67,49
67,93
68,36
68,39
69,56
69,71
69,86
70,6
70,46
71,35
72,87
73,38
73,78
74,40
74,62
75,7
76,10
76,56
77,46
77,70
78,17
79,33
80,4
80,28
80,41
80,43
81,75
82,72
83,22
84,66
85,19
85,24
85,89
86,1
87,11
87,30
88,16
88,28
89,19
90,38
91,49
91,78
92,48
92,85
93,18
93,74
94,44
94,64
94,65
95,81
95,97
96,93
97,21
98,0
98,9
98,84
99,20
99,79
